,Unnamed: 0,tweets,cluster,timestamp
0,0,"RT @drfarahnaz22: بڑے معاملوں میں چپ ہو رہے ہیں۔ ہر جگہ جھوٹے ثابت ہوتے ہیں۔ مذہب تو ان کا ٹرمپ کارڈ ہے دین نہیں۔ 
 #امپورٹڈ_حکومت_نامنظور…",4,2022-05-16 09:28:09
1,1,"لے گئے خاک میں ہم داغ تمنائے نشاط
تو ہو اور آپ بہ صد رنگ گلستاں ہونا

#اپنی_زبان_اردو",5,2022-05-16 09:28:09
2,2,"RT @raoo512: کل احسن اقبال نے شہزاد اقبال کے انٹرویو میں کہا ہے کہ 

ہمیں احساس ہے کہ پٹرول کی قیمت بڑھانا ہی ملک کے لیے درست فیصلہ ہے مگر…",1,2022-05-16 09:28:09
3,3,"RT @GhulamHusainPK: اگر آج ARY والوں کو خراج تحسین نہ پیش کیا گیا  تو یہ بہت زیادتی ہو گی

 شاباش اے آر وائی

 #امپورٹڈ__حکومت__نامنظور",2,2022-05-16 09:28:09
4,4,RT @Jooookeeeerrrr: جس کے دستخط شدہ شرٹ کروڑوں میں بکتا ہو اس پر پٹواری گھڑی چوری کا الزام لگاتے ہیں ۔۔!! https://t.co/87IQaaGxPL,5,2022-05-16 09:28:09
5,5,RT @Abbasshabbir72: الیکشن کمیشن کا یہ موقف کہ انتخابات نہیں ہو سکتے ان کے استعفوں کے لیے کافی ہے،فواد چوہدری,5,2022-05-16 09:28:10
6,6,RT @realrazidada: کہا تھاناں بائیس مئی تک مہاتما اور اس کے ہینڈلرز سر دھڑ کی بازی لگادیں گے، اکتیس مئی آخری تاریخ ہے، گرفتاری جون میں ہی ہو…,5,2022-05-16 09:28:10
7,7,"RT @Advmubeenhaidi: سر آپ بھی مذاق اچھی کرتے ہیں حمزہ ککڑی کو سپلی آئی ہے
اور نانی تو فیل ہو گئی ہے بھٹو کو گورو جی کے پاس بھیجیں گے تاکہ ا…",5,2022-05-16 09:28:10
8,8,RT @InsafPK: مریم نواز اپنے برینڈڈ جوڑے،شوز اور میک اپ سمیت VVIP پروٹوکول میں جلسے سے خطاب کے بجائے ڈھوک ہسو میں ان متوسط گھرانوں کی عورتوں…,3,2022-05-16 09:28:10
9,9,RT @ImranRiazKhan: خدارا عمران خان کی بات کو سنجیدہ لیا جائے انہوں نے آجتک اپنے مخالفین کے بارے میں جو کہا سچ ثابت ہوا۔ خدانخواستہ پاکستان…,7,2022-05-16 09:28:10
10,10,RT @AnsarAAbbasi: اب یہ بات مت کریں عمران خان نے کیا ٹھیک کیا یا غلط۔ حکومت لی ہے تو فیصلہ کریں۔ اگر پاکستان ڈیفالٹ کرتا ہے تواس سے اتحادی…,9,2022-05-16 09:28:10
11,11,RT @Buulk786: جس گھر کے مرد لندن بھاگ جائیں اور عورت سٹیج پر کھڑی ہو کر لوگوں کو I love you کہے وہاں پٹواری پیدا ہونگے... 😀 ٹیپو سلطان نہیں,5,2022-05-16 09:28:11
12,12,RT @ImranRiazKhan: خدارا عمران خان کی بات کو سنجیدہ لیا جائے انہوں نے آجتک اپنے مخالفین کے بارے میں جو کہا سچ ثابت ہوا۔ خدانخواستہ پاکستان…,7,2022-05-16 09:28:11
13,13,"@hinaparvezbutt تمہاری بات کوئی سنتا نہیں ہے
اپنی مالکن کی طرح پاگل ہو گئی ہو، کنیز",5,2022-05-16 09:28:11
14,14,RT @glbaz5: شیخوپورہ کی موجودہ صورتحال دیکھتے ہوئے اہلسنت و جماعت کی تمام جماعتیں قادنیوں کے خلاف ایک ہو جائے نہیں تو بہت برا ہو گا سب کے س…,5,2022-05-16 09:28:11
15,15,"RT @Bhatti_72: ہاں جی پاکستانیوں ۔۔۔ !!

فیصل آباد والوں کا پیار دیکھا ۔۔۔۔؟؟؟
فیصل آباد والوں کی غیرت دیکھی ۔۔۔؟؟؟
مزہ آیا فر ۔۔۔۔؟؟؟
کوئی…",5,2022-05-16 09:28:11
16,16,"RT @sheikhkhurram7: صحت کے باعث آج جلسہ گاہ نہیں جا سکا۔ اپنے قائد کا استقبال کرتے ہوئے دل خوش ہو گیا۔
 #امپورٹڈ_حکومت_نامنظور https://t.co…",4,2022-05-16 09:28:11
17,17,RT @AnsarAAbbasi: اب یہ بات مت کریں عمران خان نے کیا ٹھیک کیا یا غلط۔ حکومت لی ہے تو فیصلہ کریں۔ اگر پاکستان ڈیفالٹ کرتا ہے تواس سے اتحادی…,9,2022-05-16 09:28:12
18,18,RT @FaizanFayzi: مبارک ہو! ڈالر نے ڈبل سینچری مکمل کر لی۔ اوپن مارکیٹ میں 200 روپے کا ہو گیا,5,2022-05-16 09:28:12
19,19,RT @iamthedrifter: عمران خانُ میں اگر زرا سی بھی انسانیت ہو تو وہ ان جلسوں کو فورا ختمُ کر کے اس وقت کے اصل مسلۂ پر غور کریں اور لوگوں کو غ…,10,2022-05-16 09:28:12
20,20,@hinaparvezbutt ملک اس ٹائم درست چل رہا تھا اتنا خراب ہو گیا ہے تو وہ آپ کی وجہ سے,8,2022-05-16 09:28:12
