,Unnamed: 0,tweets,cluster,timestamp
0,0,"@SaeedGhani1 چاچا
ستو پی لیا ہو تو دیکھو
پاکستان میں عوام کیسے نکلی یے",8,Sun Apr 10 20:09:56 +0000 2022
1,1,"RT @SSEHBAI1: لوگ باہر: جیسے لوگ نکل رہے ہیں, جلسے ملک اور باہر بغیر لیڈر کے ہو رہے ہیں، جب خود خان باہرایگا تو کیا حال ہوگا - یہ نام کے شر…",1,Sun Apr 10 20:09:56 +0000 2022
2,2,RT @FaisalJavedKhan: آپکی رائے میں کیا تحریک انصاف کو اسمبلی سے مستعفیٰ ہو جانا چاہیے یا نہیں ؟,9,Sun Apr 10 20:09:57 +0000 2022
3,3,"RT @Abdulla78487680: جس سے جگر لالہ میں ٹھنڈک ہو وہ شبنم

دریاؤں کے دل جس سے دہل جائیں وہ طوفان،

ہر لحظہ ہے مومن.

#امپورٹڈ_گورمنٹ_نامنظور…",0,Sun Apr 10 20:09:57 +0000 2022
4,4,RT @fawadchaudhry: شہباز شریف کے کاغذات نامزدگی منظور ہونے کے بعد ایف آئ اے سے پہلا آرڈر یہ ہوا ہے کہ کل وکلاء کی ٹیم شہباز شریف کے مقدمے م…,0,Sun Apr 10 20:09:57 +0000 2022
5,5,RT @Sarfraz053: @MaddyWithKhan عمران خان نے کہا تھا، میرا ووٹر ابھی چھوٹا ہے ۔ لیکن جب وہ 18 سال کا ہوگا تو سارے ووٹس میرے ہوں گے ۔ آج وہ و…,7,Sun Apr 10 20:09:57 +0000 2022
6,6,"پہلے والے غیر جمہوری اور غیر آئینی طریقے سے نکالے گئے ۔ اس کو جمہوری ائینی طریقے سے نکالا گیا ۔ 
یہ تو اب پتہ چلے گا کہ کون چور ھے",0,Sun Apr 10 20:09:57 +0000 2022
7,7,RT @ImranRiazFan_: پاکستان کی تاریخ میں پہلی دفعہ کوئی چیف آف آرمی سٹاف شدید ترین ذلت کے ساتھ رخصت ہو گا,8,Sun Apr 10 20:09:57 +0000 2022
8,8,RT @haroon_natamam: راولپنڈی میں لوگ سڑکوں پہ ہیں یا چھتوں پر۔ پاکستان کے تمام شہروں سمیت دنیا بھر میں عمران خاں کے حق میں مظاہرے۔  حالات م…,2,Sun Apr 10 20:09:57 +0000 2022
9,9,"RT @SSEHBAI1: لوگ باہر: جیسے لوگ نکل رہے ہیں, جلسے ملک اور باہر بغیر لیڈر کے ہو رہے ہیں، جب خود خان باہرایگا تو کیا حال ہوگا - یہ نام کے شر…",1,Sun Apr 10 20:09:57 +0000 2022
10,10,"RT @HHsirHKBaloch: میڈیا بلیک آوٹ کروا کر کیا اکھاڑ لیا ؟؟ الٹا مزید بے نقاب ہو گئے
آج کی جنریشن معلومات کیلئے آپکے ""جیونیوز"" کی محتاج نہیں…",0,Sun Apr 10 20:09:57 +0000 2022
11,11,"RT @_Ujala_R: اس شمع فروزاں کو آندھی سے ڈراتے ہو 
اس شمع فروزاں کے پروانے ہزاروں ہیں 
#BehindYouSkipper
#امپورٹڈ_گورمنٹ_نامنظور https://t.c…",0,Sun Apr 10 20:09:58 +0000 2022
12,12,RT @abad_ali_khan: @SHABAZGIL یہ لو اب تیز ہو جائے گا https://t.co/SpugLVGbB7,0,Sun Apr 10 20:09:58 +0000 2022
